AMONT DU STADE;97211;<p>En cours de rédaction</p>
COEUR BOULIKI;97224;
Anse Turin;97204;"<p>L'anse Turin est une des plus belles plages du Nord de l'île. Située le long de la Nationale 2, elle reste tout de même isolée de la route grâce à de nombreux arbres. Cette plage, d'après la légende serait celle où a débarqué Christophe COLOMB en 1502. C'est une anse au sable gris clair, qui profite d'une vue splendide sur la Montagne Pelée et vous y profiterez d'un paysage incroyable par temps clair. L'eau y est claire et douce, la plage est large, agréable. Vous y trouverez divers petits marchands ambulants : poulet boucané, sinobol, sorbet coco et autres... Elle est donc idéale pour les pique-niques en famille ! Cependant, une fois dans l'eau, elle devient vite profonde, il faut donc garder les jeunes enfants sous surveillance constante. Cette plage est donc à voir, mais sa fréquentation augmentant le week-end, il vaut mieux arriver tôt pour avoir la chance de trouver une table.</p>
"
Carbet Sud (Le Marouba);97204;"<p>Située à l'entrée du Carbet, la plage du Marouba est attenante à l’hôtel du même nom, cependant, n'étant pas privatisée, vous pourrez y accéder tout à fait normalement.</p>
<p>De toute les plages du Carbet, il faut bien avouer que celle ci est la moins esthétique. Délimitée par une falaise sur sa droite, la plage de sable gris est vite remplacée par de gros galets tout au bord de l'eau. De plus à cet endroit le courant est assez fort et pourrait vite emporter un nageur non expérimenté. De plus, comme toutes les plages de la zone, à cause du fort dénivelé des fonds, l'eau se fait rapidement profonde.</p>
<p>A déconseiller donc si vous êtes accompagné de jeunes enfants ou aux nageurs débutants.</p>
"
Vétiver;97205;"<p>C'est sur l'une des plus anciennes communes de Martinique que l'on trouve la plage du Vétiver. Cette plage est composée d'une partie en galet et d'une partie plus sableuse. Ce n'est pas la plage type pour lézarder, toutefois, comme beaucoup de plages du Nord Caraïbes, elle a de riches fonds marins, elle est donc très appréciée des amateurs de snorkeling et de pêche sous marine.</p>
"
PONT DE L'ALMA;97209;
La Française;97209;"<p>Unique plage de la ville capitale et située dans son hypercentre, la plage de la Française finit la longue promenade du bord de mer (autrement appelée Malecon). Au pied du Fort st Louis, cette plage de sable blond n'est certes pas la plus charmante, mais elle présente l’intérêt d'être d'une parfaite accessibilité puisque on peut aussi bien s'y rendre à pied qu'en voiture, en bus ou même en bateau. Parfaitement éclairée le soir on peut aussi profiter d'un bain de mer un plus tardif. Attention: certains soirs notamment le week-end à partir d'une certaine heure, le lieu peut parfois être un peu mal fréquenté, précisons que, comme toute la jetée, le lieu est protégé par vidéo surveillance et des rondes régulières de la police municipale.</p>
"
Anse Belleville (Trou au chat);97219;"<p>Après avoir passé le bourg du
Prêcheur, caché dans un virage, vous pourrez apercevoir l'Anse
Belleville. N'essayez pas d'y descendre en voiture, la côte n'est
pas faite pour ça ! En contre bas vous trouverez une petite
crique, bordée de gros rochers. Pour aller jusqu'à une petite
bande de sable, il vous faudra un peu vous mouiller les pieds, une
petite avancée de rocher vous empêchera de faire autrement à moins
de vouloir jouer les casse-cous dans les rochers. Rochers dans
lesquels vous pourrez d'ailleurs observer lézards et petits crabes.
Une petite crique sympathique, plus destinée à une rapide baignade
qu'à une véritable journée plage !</p>
"
Anse Céron (Tamarinier ou Tomate);97219;"<p>L'Anse Tamarinier est une petite anse située dans la première partie de l'Anse Céron. Plus sauvage et moins aménagée, elle est une anse dans l'anse. La langue de sable n'est pas très épaisse, mais elle est d'un joli gris comme toutes les plages du Nord Caraïbes. Pour y arriver il faudra traverser une large partie boisée dans laquelle vous trouverez quelques tables où les locaux aiment parfois bivouaquer. La mer y est relativement calme mais comme toutes les plages du secteur il faut faire attention au fort dénivelé au moment de l'entrée dans l'eau. </p>
"
Anse Couleuvre;97219;"<p>Après avoir passé l'Anse Céron, si vous continuez la route, vous tomberez (après quelques kilomètres assez périlleux pour votre voiture) sur un parking. Ce parking est la fin de la route du Nord Caraïbes. De là, part   une petite randonnée, où vous verrez notamment une ancienne distillerie abandonnée, et aussi une petite cascade. Une fois passée cette étape, vous trouverez une belle anse de sable fin, allant du gris au noir. C'est sur cette plage que vous trouverez le sable le plus foncé de la Martinique. Une eau calme, claire et poissonneuse ravira les amateurs de snorkeling. La réputation de cette plage étant plus forte que la marche qu'elle demande, cette plage peut parfois être assez fréquentée durant la belle saison, il vaut donc mieux y aller en semaine et hors vacances scolaires.</p>
"
Anse Céron;97219;"<p>L'Anse Céron est la dernière plage du Nord Caraïbes où vous n'aurez qu'à vous garer pour pouvoir vous baigner ! L'Anse Céron est une magnifique anse de sable noir, aménagée avec tables, douches, toilettes et  aussi des BBQ (mais il vaut mieux emmener votre propre grille car celles laissées sur place sont régulièrement dérobées),  le tout étant ombragé par de nombreuses essences d'arbres. Depuis la plage vous pourrez profiter de la vue sur l’Ilet de la Perle et par temps clair sur l’île de la Dominique toute proche.  La mer y est souvent claire mais elle peut se montrer agitée par gros temps. Comme beaucoup de plages du Nord, la mer se fait rapidement profonde il faut donc bien surveiller les enfants. Pour les amateurs de snorkeling, les fonds, surtout dans les rochers sur la droite, sans être profonds sont très intéressants. Toutefois, faites bien attention à la houle et nous déconseillerons donc cet exercice aux nageurs débutants ou moyens. Pour le reste, petit plus non négligeable, vous pourrez parfois apercevoir les dauphins depuis la plage ou même durant le mois de décembre, la transhumance des baleines grâce aux souffles de ces cétacés. </p>
"
La Paillote;97225;"<p>Cette plage est en quelque sorte la plage du bourg de Saint Pierre. Légèrement caillouteuse elle n'est que très peu plébiscitée pour la baignade, elle est par contre un lieu de rencontre pour les habitants du quartier et les pêcheurs à la ligne qui profitent aussi du large ponton. Ponton d'où partent d'ailleurs les navettes pour la Guadeloupe, Sainte Lucie, la Dominique et parfois Les Saintes. Une jolie promenade plus qu'une baignade donc!</p>
"
Lido (Anse Collat);97229;"<p>La plage de l'Anse Collat, aussi appelée plage du Lido, est une jolie petite plage située au centre de l'île, pour ceux qui veulent profiter de la plage sans pour autant s'éloigner du centre de l'île. Pas très large, c'est tout de même une jolie plage agréable, grâce à une eau calme et un joli sable blond. Cependant, proche des habitations, elle reste beaucoup plus fréquentée par les riverains pour un bain rapide que par le reste de la population.</p>
"
Anse Madame (Plan d'eau);97229;"<p>La plage de l'Anse Madame est une plage relativement quelconque. Cependant, bien située, elle est devenue, grâce notamment au Centre Nautique de Schoelcher, un pôle de sport très attractif avec, entre autres, un parcours de santé... Vous pourrez donc, y faire de la planche à voile, du kayak, de l'aquagym etc. Ce n'est donc peut être pas la plage idéale pour lézarder mais pour les sportifs elle est un pôle attractif, tout en restant dans le centre de l'île.</p>
"
Madiana;97229;"<p>La plage de Madiana est une des plus jolies plages de la commune de Schoelcher, ce qui en fait une plage assez fréquentée le week-end. Située dans le quartier éponyme, elle est tout de même isolée des habitations ce qui confère certainement à son succès. Pour le reste vous trouverez là une jolie plage de sable gris, assez large, quelques arbres pour l'ombre et une eau assez calme.</p>
"
Batelière (PLM);97229;"<p>La plage de la Batelière est la plage de l'hôtel du même nom. L'entrée y est totalement libre même si vous devrez traverser l’hôtel pour vous y rendre. C'est une jolie petite crique au sable blanc et à l'eau d'une incroyable couleur turquoise. Elle est propre, limpide et calme. Vous y trouverez aussi un bar de plage appartenant à l'hôtel et vous pourrez directement vous faire servir sur la plage. Malgré ce côté légèrement bling-bling la plage du PLM est aussi très intéressante pour ses fonds marins et les amateurs de snorkeling et de plongée pourront facilement s'y faire plaisir!</p>
"
Bourg Schoelcher;97229;"<p>La plage du Bourg de Schoelcher (aussi appelée Anse Case Navire) est une petite plage sympathique. Proche de la route, elle est idéale pour un bain rapide. Bordée de restaurants, elle peut aussi être un très bon petit coin pour une promenade digestive. Elle est aussi beaucoup utilisée par les pêcheurs qui, matin et soir, y débarquent les prises de la journée. Elle est aussi beaucoup fréquentée par les habitants du quartier, que ce soit pour un bain rapide ou pour de plus grandes occasions.</p>
"
Fond Boucher;97234;"<p>La plage de Fond Boucher n'est pas la plage dont on rêve au départ. Faite de galets et de gros sable gris , elle ne correspond pas tout à fait à l'image convenue de la plage des Antilles! Toutefois, elle reste une plage agréable, beaucoup plus fréquentée par la population du quartier que par une horde de touristes, ce qui en fait un endroit assez tranquille où l'on peut, sans trop de difficulté, trouver un endroit ou poser sa serviette! Au delà de l'aspect, cette plage est un très bon spot pour les amateur de plongée et de pêche sous marine.</p>
"
Îlet Madame;97222;"<p>L'Îlet Madame, situé sur la commune du Robert se situe à environ 400m de la côte de la Pointe Rose. La traversée se fait généralement par bateau, elle peut aussi, quand la marée s'y prête, se faire à pied ou pour les bons nageurs... à la nage. Une fois arrivé vous découvrirez une eau ressemblant étrangement à celle d'un lagon, ce qui forme un joli contraste avec le sable très blanc de la plage et le vert très dense de la végétation de l'îlet. A noter que non seulement l'îlet Madame est une étape dans nombre d'excursions touristiques, mais aussi, qu'il est beaucoup fréquenté le week-end par les habitants du Robert.</p>
"
Baie-Coco (Pointe la Rose);97222;"<p>Unique plage du Robert (si l'on oublie bien entendu celles des îlets) la plage de Baie Coco n'est pas une étape incontournable. Une ligne de sable peu large, parfois recouverte totalement par des galets. L'aspect le plus intéressant de cette plage reste peut être l'ancien four à chaux. À noter que vous pourrez par contre profiter de cette eau calme pour louer des kayaks. Avis aux amateurs !</p>
"
Anse Azérot;97228;"<p>Anse Azerot est une des dernières plages ""praticable"" du Nord Atlantique. C'est une très jolie plage de sable clair, bordée de nombreux cocotiers. La mer y est modérément agitée mais peut facilement devenir violente en cas de forte houle, il peut donc être intéressant de consulter la météo marine avant de vous y rendre. Quelques tables pourront accueillir vos pique-niques et, si la mer ne se prête pas à la baignade, vous pourrez découvrir le long de la plage les ruines de l'ancienne distillerie fondée par le Père Labat et laissée à l'abandon depuis la fin de la seconde guerre mondiale. </p>
"
Anse l'Étang;97230;"<p>Au bout du quartier résidentiel de Tartane, l'Anse l'Etang est une très jolie plage de sable doré, bien ombragée par de nombreux cocotiers et raisiniers. Elle se présente comme une crique, les deux pointes brisant les vagues violentes de l'Atlantique. La plage garde tout de même des vagues assez animées et peut faire un bon spot de surf, toutefois il reste possible de s'y baigner même avec des enfants. C'est donc une très belle plage mais prise d'assaut le week-end , il devient aussi difficile de se garer que de trouver une bonne place sur le sable, à découvrir donc la semaine ou prévoir une arrivée tôt le matin.</p>
"
La Brêche;97230;"<p>Après avoir passé le bourg de Tartane, en face du bourg de Trinité et de son îlet, vous tomberez sur un petit trésor. Une belle plage de sable fin et clair, bordée d'un bras arboré cachant quelques tables... Une mer bleue et calme idéale pour la baignade des enfants vous enchantera! À noter que la plage de la brèche est la première en Martinique a avoir reçu le label “tourisme et handicap”. Ainsi vous y trouverez un deck, facilitant l'accès aux fauteuils roulants, desservant quelques tables et vous emmenant jusqu'au bord de l'eau. Une belle plage donc, à découvrir en famille, à éviter, tout de même, lors des week-ends de forte affluence.</p>
"
Tartane bourg;97230;"<p>La Plage du bourg de Tartane s'étend sur une petite centaine de mètres à l'entrée du bourg. Elle est d'un sable doré et fin sur lequel les arbres se font tout de même assez rares. L'eau y est claire, douce et relativement calme. C'est une plage très fréquentée le week-end et une place à l'ombre devient un véritable petit trésor! Sur la gauche vous y trouverez un ponton d'où les enfants et les plus grands prendront plaisir à sauter! </p>
"
L'autre bord;97230;"<p>En soit la plage de
l'Autre Bord est une plage très agréable. Non aménagée, on
pourrait y trouver un petit goût de paradis perdu: une eau claire et
très peu profonde, un sable fin et clair, presque blanc, quelques
arbres pour finir le tableau: PAR-FAIT! Cependant, le chemin pour y
arriver vous privera à l'avance de tout ce qui pourrait s'approcher
de cette sensation! En effet, la plage de l'autre bord se trouve quasiment au cœur d'un lotissement que vous devrez traverser pour
avoir la chance de vous baigner. De plus cette plage est souvent
prise d'assaut le week-end par les habitants de la résidence et pour de grands pique-niques familiaux... Pour plus de quiétude, cette plage
est donc à éviter le week-end.</p>
"
Les raisiniers;97230;"<p>La plage des raisiniers, connue pour accueillir le tour de Martinique des yoles rondes, est une plage à tout faire. En effet, située en bord de route, près de la caserne des pompiers, cette plage de sable blanc, bien que jolie, ne jouit pas d'un emplacement idéal. Toutefois, elle reste fréquentée car elle est pratique pour un bon bain rapide, sans avoir besoin de parcourir des kilomètres. Il s'y est aussi développé des activités telles que des cours d'aquagym et autres. Une plage bon plan donc,  pas tout à fait adaptée à une journée farniente au soleil.</p>
"
Anse Cosmy;97230;"<p>Située à la sortie de la ville de Trinité, face à l’îlet St Aubin, la longue plage de Cosmy (500m) est une très jolie et agréable plage de sable doré. Les fonds marins y sont aussi très intéressants plus pour la flore (gorgones) que la faune, ils s'adressent donc surtout aux fans de snorkeling plutôt qu'aux pêcheurs. Cependant, malgré tous ces jolis avantages il faut bien avouer que depuis quelques années, envahie par une population jeune et bruyante la plage est beaucoup moins agréable qu'elle ne l'était il y a encore 10 ans de cela. De ce fait, si vous voulez tout de même en profiter, préférez les premières heures du matin ou la semaine hors vacances scolaires.</p>
"
Grande Anse;97202;"<p>Grande Anse est une très jolie plage de sable blond et fin. Elle profite d'une mer calme et turquoise à l'eau limpide et poissonneuse. Malgré cela il faut bien avouer que cette anse n'a plus grand chose de sauvage. En effet, elle est, sur toute sa longueur, bordée d'habitations, de bars, de restaurants ou encore de clubs de plongée, de stands de location de kayak etc. Toutefois elle reste une plage agréable ou vous pourrez profiter d'un cocktail, allongé sur un transat pendant que vos enfants barboteront tranquillement au bord de l'eau.</p>
"
Anses-d'Arlet Bourg;97202;"<p>La Plage du bourg des Anses d'Arlet est une magnifique large plage de sable blond et fin. La plage est séparée en deux par un grand ponton d'où les petits comme les grands adorent sauter dans l'eau limpide et chaude. C'est une plage idéale pour un pique-nique en famille qui, en plus, ravira les amateurs de snorkeling car à quelques mètres du rivage un rocher abrite un éco-système comprenant quelques espèces de poissons, d'éponges et de jolis coraux. Tout ceci étant à 50 mètres de la plage vous pourrez aussi emmener les enfants pour en profiter. Rappelons ici que les coraux, étoiles de mer et autres sont des êtres vivants et non de jolis souvenirs à emporter.  Ils se font de plus en plus rares aux abords de nos côtes, alors laissons les vivre tranquillement, ou nous risquons d'être parmi les derniers à profiter de ces beautés.  Faites également attention où vous posez les pieds, les éponges et les coraux ne supportent pas bien les coups de palmes...</p>
"
Petite Anse;97202;"<p>En partant des Anses d'Arlet pour remonter vers le Diamant par la route côtière, vous tomberez sur la jolie plage de Petite Anse. Petite Anse est -comme son nom l'indique – une petit plage, très sympathique. En bord de route et donc facile d'accès elle garde à l'instar de Grande Anse un côté sauvage qui saura vous séduire. Une belle plage de sable clair, une jolie mer claire et calme, quelques gommiers retournés au bord de l'eau, la vue sur les mornes environnants, quelques cocotiers pour apporter un peu d'ombre. Bref encore une très jolie plage à découvrir sur la commune des Anses d'Arlet.</p>
"
